,test_percentage,folds,softmax_reg_l1,softmax_reg_l2,softmax_reg_elastic,reg_l1_withoutSepalWidth,reg_l2_withoutSepalWidth,reg_elastic_withoutSepalWidth
0,0.2,2,"LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=31.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=10.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=21.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=10.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
1,0.2,3,"LogisticRegression(C=5.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=10.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=5.5, l1_ratio=0.8, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=3.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=14.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=5.0, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
2,0.2,4,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=14.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=6.5, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=6.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=12.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=6.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
3,0.2,5,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=20.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=16.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
4,0.2,6,"LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=20.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=20.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
5,0.2,7,"LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=18.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=15.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
6,0.2,8,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=38.0, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=49.0, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
7,0.2,9,"LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=14.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
8,0.2,10,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=43.5, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=10.5, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
9,0.3,2,"LogisticRegression(C=49.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.0, max_iter=6000, multi_class='multinomial',
                   solver='sag')","LogisticRegression(C=50.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=48.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=23.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=43.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
10,0.3,3,"LogisticRegression(C=20.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=30.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=13.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=46.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=13.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
11,0.3,4,"LogisticRegression(C=24.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=24.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=19.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
12,0.3,5,"LogisticRegression(C=22.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=22.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=16.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
13,0.3,6,"LogisticRegression(C=19.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=19.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=16.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
14,0.3,7,"LogisticRegression(C=21.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=20.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
15,0.3,8,"LogisticRegression(C=24.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=23.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
16,0.3,9,"LogisticRegression(C=25.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=23.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
17,0.3,10,"LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=7.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
18,0.4,2,"LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=39.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=7.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=30.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.0, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
19,0.4,3,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=37.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
20,0.4,4,"LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=14.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=3.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=9.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=5.5, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
21,0.4,5,"LogisticRegression(C=5.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=13.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=6.0, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=2.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=10.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=4.0, l1_ratio=0.5, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
22,0.4,6,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=33.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=12.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
23,0.4,7,"LogisticRegression(C=11.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=44.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.0, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=12.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
24,0.4,8,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=12.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
25,0.4,9,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=13.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
26,0.4,10,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=46.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.0, l1_ratio=0.8, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=12.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
27,0.5,2,"LogisticRegression(C=6.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=39.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=6.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=8.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
28,0.5,3,"LogisticRegression(C=12.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=39.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=12.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
29,0.5,4,"LogisticRegression(C=10.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=10.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=43.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
30,0.5,5,"LogisticRegression(C=6.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=29.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=8.0, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=17.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
31,0.5,6,"LogisticRegression(C=10.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=10.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
32,0.5,7,"LogisticRegression(C=24.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=28.0, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=20.5, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=18.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
33,0.5,8,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial',
                   solver='newton-cg')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
34,0.5,9,"LogisticRegression(C=9.5, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.5, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=9.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=50.5, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=9.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
35,0.5,10,"LogisticRegression(C=10.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=38.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=10.0, l1_ratio=1.0, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')","LogisticRegression(C=8.0, max_iter=6000, penalty='l1', solver='saga')","LogisticRegression(C=15.0, max_iter=6000, multi_class='multinomial')","LogisticRegression(C=5.5, l1_ratio=0.9, max_iter=6000,
                   multi_class='multinomial', penalty='elasticnet',
                   solver='saga')"
